killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Down and Out,NA,NA,NA,NA,ERANGEL,2U4GBNA0Ymmrsuy9-sj9di4szqgJG-coQbpuQ5f2jqE9dd2rn4tAYDA2TDmEk4bD,823,abclong,17,190303.2,316752.2
Down and Out,JamoTango,18,649453.3,253898.6,ERANGEL,2U4GBNA0YmmdYOHEemUdBzhpwouxgJiiX2saktLLV51m_20-42iJOQJJ_5ZowJ0I,251,DCC70,26,649394.5,253954.2
M416,Jennateal,1,380815.6,571319,ERANGEL,2U4GBNA0Ymk4t-MuLjVDsnmCAkXhT6mj8-EwY-NCHeIXp3jklABQigLmRaDBhekp,186,C-Daff,2,380784.2,571148.4
AKM,Wei-Cheng-,66,627849.1,378525.4,ERANGEL,2U4GBNA0YmmZJwuzHjT8gv4YfXWc_KCjye2T6WsU6ECDJyyZ__KQ831R7Qa9YhB7,139,abehonest,88,627593.9,378410.4
Mini 14,zhx_888,11,310765.5,529239.8,ERANGEL,2U4GBNA0YmlQFHHBzygnuWbhXDGLdKRCp9pfMU8-FevSiuVg4utlaDJfwdBeFFm9,525,Black-Khosolo,22,309398.6,525710.4
AWM,yaohua0706,5,579720.6,242039.7,ERANGEL,2U4GBNA0YmmxKTm9wKoMpLxnGzW-b6Tz6TLTwC908Giam2CUVp3Vs5PGlCpCdXO2,1757,xianruliusha1,6,583965.4,251611.3
Falling,pure-focus,2,332199,170376.5,ERANGEL,2U4GBNA0YmkJHVogmSsajxOYLyMLNLX0jaUqborSpAqTAydDUxK1tveR35CiFVR_,1769,ElChapoGucciJr,3,336306.2,171156.4
Falling,wojiaotaozige,39,692315.3,428037.1,ERANGEL,2U4GBNA0YmmyLdQjyrIhlfqJXwRBIJgH57y1ZmHH4W1XAX-9PImBLskY4qhi-IY4,304,RedMeatStick177,54,692192.4,428189.3
M416,Fogo_de_palha,3,452452.1,178773.2,MIRAMAR,2U4GBNA0YmkSye0bKM3BZL-pjea1K6iaCFoUxHG1owudo2yk40w9CG9Vv06WQfU_,1695,Undermind,5,455508.8,171212.7
AKM,fenfensara,1,483221.8,579471.4,ERANGEL,2U4GBNA0Ymn7nI6rjh3kgpfyNLv8Pf6Wcc2tWC6PjHpj5XrvzSbNNaTTPP4vPpHv,1952,KuiTun__Ke,3,484806.8,580177.3
M416,iinstan,6,425332.3,530185,MIRAMAR,2U4GBNA0Ymn_G6Vvz5Ox5eipaag40Gnof0IDSaE0OwGiNP2sxfqB1nVkY3MTISL7,1146,feifeiaa,13,425683.9,526565.4
Micro UZI,Zz_Scholar,36,366813.1,422699.5,MIRAMAR,2U4GBNA0YmnDnUlZAw8Poc1SA83zqhBpLC6WU1hPfPcJFHse3pfwpu8N7appMhrB,238,JaeHoon11,26,367575.5,422905.2
SCAR-L,sPhNXz,37,365851.9,409249.1,ERANGEL,2U4GBNA0YmmNsu0-lvMkpWs_sKHLwhRS614x1IEvI4hdohr-1ZDy0V9DAHqtjHGC,326,Supersanbin3,29,365860.3,409446.3
Down and Out,DB_Burdock,13,572346.4,341763.6,ERANGEL,2U4GBNA0Ymk0UcZNQaXRsidn7cmEbXukDD0DWKdEtH-Y9db-raT1tI3P4HjV5MYf,950,dudeimop,2,567549.8,347730.7
RedZone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmkKly-m-savPHUmMHw8Sn71kGqZoKYz_7GZKgKjdhYTdyTLKHhQD9d4,848,woyaochimian,14,380592.5,404344.7
Down and Out,LORD_Zzz,20,420622.4,354786.9,ERANGEL,2U4GBNA0Ymlvk_2qU4G7dHiwCE98ZLolR8viRmTyuMYbP_L1t4sjO3YzhyEmXZQD,817,Wangseng110,15,428948.8,349437.5
